well_id,n_rows,rare_frac,rmse_overall,rmse_rare,rmse_common
fde20ecf,4667,0.00042854081851296334,15.49182450345529,10.333795981548626,15.493667627026598
3bbe1f5d,6918,0.0,15.47860338867613,,15.47860338867613
5bd25f59,4210,0.0,15.476828696116254,,15.476828696116254
4c3df468,5392,0.0,15.454409532222682,,15.454409532222682
98bc6f66,6063,0.0,15.445339360474112,,15.445339360474112
e45a2a62,5007,0.0005991611743559018,15.420501874085282,11.411860946195647,15.42259262397819
2e63d9de,4699,0.00021281123643328368,15.271548389244028,10.953203413033407,15.272337597132873
f8afa78a,6032,0.0,15.170523122959123,,15.170523122959123
febb4411,4247,0.0,15.160486922112407,,15.160486922112407
d2f3b1ab,5581,0.0,15.106321430829896,,15.106321430829896
656a067b,3051,0.00032776138970829236,15.083962880694628,24.382789201650667,15.079973810634765
6767c111,6783,0.0004422821760283061,15.033802077419798,16.407540768260304,15.033166443398022
5cdd8dbc,4010,0.0,14.94408970322169,,14.94408970322169
0bbf5e67,4298,0.0,14.878019258244931,,14.878019258244931
e7818f7a,5371,0.0007447402718301992,14.85610061589204,15.345028592045592,14.855730219240693
bc4381e2,4955,0.0,14.845273518681367,,14.845273518681367
79507629,5302,0.0,14.844016631221352,,14.844016631221352
b0d42b0d,4971,0.0,14.780595247109085,,14.780595247109085
84815d5a,3647,0.0005483959418700301,14.765081962355621,9.26309674202441,14.767538202108918
10a1281a,5609,0.0,14.73950024372939,,14.73950024372939
1a518997,4606,0.0,14.73748604153344,,14.73748604153344
f49fdea3,5391,0.0,14.718619029827638,,14.718619029827638
71642c7d,4648,0.0,14.696729099017565,,14.696729099017565
beda8696,5912,0.0,14.60484085611669,,14.60484085611669
bb682ebd,4139,0.0,14.583373862278798,,14.583373862278798
9d3ec64c,3480,0.0005747126436781609,14.51009313727262,16.608713150963805,14.508799011968721
c9e6734f,4735,0.0,14.48357199436815,,14.48357199436815
1770d7c6,7240,0.0,14.4209852280811,,14.4209852280811
e730c32b,4728,0.0,14.385677673442283,,14.385677673442283
00bbac68,6014,0.00016627868307283005,14.288244775405627,3.15408621752249,14.289374947731135
54753541,4026,0.0,14.262534695828114,,14.262534695828114
